,标题,总价格,单价,地段,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,"
                                  ","
                                      ","
                              ",挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,别墅类型
2153,中庚漫游城商圈+双轨交通1号12号线+全明户型三居室,479,54186,"['闵行', '古美']",古美西路420弄,3室1厅1厨1卫,高楼层 (共6层),88.4㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202409205801,中庚漫游城商圈+双轨交通1号12号线+全明户型三居室，安静位置,小区共有两个出入口，车辆进口在古美西路，出口在合川路，物业比较负责，24小时安保工作，2018年3月完成美丽新家园改造，停车问题大大改善,双轨道交通，1号线莲花路站，12号线顾戴路站，三大商场，莲花国际，友谊商城，南方商城，还有新建的万源路沿街的底商，三幢写字楼，标准的商务区，发展潜力巨大，小区楼下陇西菜市场，满足日常买菜需求，古美西路一条街商店满足生活需求,"交通出行： 楼盘位于中外环之间，东临中环、西靠外环、南临沪闵高价、G60、S20、S4等高速、北倚漕宝路，自驾出行便利程度可想而知； 公共交通这块有地铁1号线和12号线，公交车线路，包括122,150,162,753等均经过小区门口",房东一手买入，产权人一位，无贷款无抵押与纠纷，产权清晰，可随时签约。,,
2154,2020年新小区，双南两房，位置好楼层好,335,42643,"['闵行', '颛桥']",君莲闵都雅苑,2室1厅1厨1卫,中楼层 (共17层),78.56㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,无抵押,非共有,已上传房本照片,202509714586,临十五号线地铁站，朝南户型采光充足，户型方正，绿化高环境好,小区是2020年竣工的，2600户中小型社区，小区的绿化很高，可以达到40%，几乎每一寸空间都蔓延着绿色，小区是单行车道，保证车流的顺畅，电梯可直达地下车库，车位充足。,适合刚定居在上海的客户，地铁沿线交通便利，距离市区近，上班通勤时间短。有电梯，楼层不是很高，走楼梯也行，乘电梯也行，家里有孕婴的以及有老人的也都能适宜。小区绿化覆盖高，整体环境好，物业管理是本版块相对比较好的。,万达广场、大润发、海梦一房、麦多生活广场、尚优玛特 医院：梅陇镇卫生院高兴门诊部、都市路地段医院、 银行：中国邮政银行上海分行 中国建设银行上海分行春申支行、上海浦东发展银行春申路支行 小区东边200m有梅莲农贸菜市场。,地铁15号线双柏路站，156路直达3号线石龙路站，可到1号线莲花路站、闵行14路可到5号线颛桥站、闵行13路直达1号线莲花路站、闵行25路直达莘庄南广场、180直达1号线上海南站；自驾：小区西边至金都路是S4沪金高速，小区东边至虹梅南路是虹梅高架,,
2155,颛桥万达+诚意出售+全明大两室+房龄新+环境好固定车位,320,39996,"['闵行', '颛桥']",金榜新苑1900弄,2室2厅1厨1卫,中楼层 (共14层),80.01㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,暂无数据,有抵押 265万元 建设银行 业主自还,非共有,已上传房本照片,202409614291,小区新，位置安静，税少，房东诚意出售 看房 随时飞机户型,本小区是2010年的电梯房、9-14层电梯房，一直都是年轻客户钟爱的社区，物业贴心管理日趋完善，居民有爱和睦！门口宝都广场已经营业，出行很方便，越来越多的客户都选择这边置业，希望能给您不一样的住房感受。,户型正气 南北通透带大南阳台，一房朝南 一房朝北 电梯中间楼层,小区自带南北双公园，沪闵路沿河走廊颛桥文化艺术公园，自带田园夜跑安静道路。伟都菜市场，如海商市，宝都广场距离小区300米，万达广场1.5公里，都市路沿线华润万家、龙盛广场 、莘庄仲盛 、龙湖天街，班车直达闵行区复旦医院，北门有路安全直达,1，双轨交：地铁15号元江路2公里有班车，5号地铁颛桥北桥1.5公里左右，有银春班车直达 2.公交41路 143路从吴泾，老闵行江川 直达颛桥 莘庄 地铁口3.自驾：沪金高速，嘉闵高架，虹梅高架隧道，申嘉湖高速，四通八达，交通便利,,
2156,店长主推！！!中间楼层，20万婚房精装修，近地铁,330,36109,"['闵行', '闵浦']",闵浦新苑三村东区,2室1厅1厨1卫,中楼层 (共6层),91.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409049609,南北通  总价低  税费干净清晰  无迁入户口 近地铁 交通无忧,小区开发商是上海奕海领秀有限公司总建筑面积84212占地面积52761房屋449户物业为明嘉物业管理好小区环境好楼间距宽车位充足居民素质高居住舒适度高,2010年小区，南北通，全明户型，动静分离，采光无影响，居住舒适,小区配套成熟，离江玮公园150米，浦江郊野公园2.6公里，适合周六周天带家人娱乐。有谈家港农贸菜市场，夏威夷广场，瓯盛购物广场，偶润发广场，浦江休闲广场，妙口全国农副产品大卖场，医院有，仁济南苑，眼耳鼻喉科医院，配套成熟,原动迁，无增值税，满五带个税，，首套客户一个点契税，二套三个点,小区到地铁站三鲁公路站600米，门口有浦江15路，浦江20路，浦江1路等多趟公交，出行方便。出市区对接申嘉湖高速入市区可浦星公路,
2157,金榜新苑 高层电梯洋房 一梯两户 带固定车位,315,40174,"['闵行', '颛桥']",金榜新苑1900弄,2室2厅1厨1卫,高楼层 (共9层),78.41㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯两户,有,暂无数据,无抵押,非共有,已上传房本照片,202409039797,此房是一手动迁的两房，电梯高楼层，楼层很好，采光好,小区一期2010年竣工，总高6层的楼梯房，二期是2010年的电梯房、9-14层电梯房，一直都是年轻客户和老人钟爱的社区，物业贴心管理日趋完善，居民有爱和睦！门口宝都广场已经营业，出行很方便，越来越多的客户都选择这边置业，希望能给您不一样的住房感受,小区自带南北双公园，沪闵路沿河走廊颛桥文化艺术公园，自带田园夜跑安静道路。伟都菜市场，如海chao市，宝都广场距离小区300米，万达广场1.5公里，都市路沿线华润万家、龙盛广场 、莘庄仲盛 、龙湖天街，班车直达闵行区复旦医院，北门有路安全直达,出租给了二房东 刚装修一年 精致 不过买过来基本也要重新装的 用来出租的话就不需要了,1，双轨交：地铁15号元江路2公里有班车，5号地铁颛桥北桥1.5公里左右，有银春班车直达 2.公交41路 143路从吴泾，老闵行江川 直达颛桥 莘庄 地铁口3.自驾：沪金高速，嘉闵高架，虹梅高架隧道，申嘉湖高速，四通八达，交通便利,,
2158,1号线和12号线双轨交中庚漫游城南方商城全明户型,530,57051,"['闵行', '古美']",古美西路316弄,3室1厅1厨1卫,低楼层 (共6层),92.9㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,无,暂无数据,有抵押,共有,已上传房本照片,202509678465,此房满五年，东边套全明户型，1号线和12号线双轨交,小区共有两个出入口，车辆进口在古美西路，出口在万源路，物业比较负责，24小时安保工作，2018年3月完成美丽新家园改造，小区外立面，道路以及楼梯间都进行改造，干净整洁，停车位充足,本房是96年建成，双卧朝南，厨房和北卧并排朝北，客厅朝东，适合三口之间或三代同堂，低楼层适合老年人和儿童居住，客厅带朝东的窗户，既保证了采光又避免下午阳光的暴晒,小区配套有双拥公园，合川路沿河跑道，出门就是菜场，小区北面是复旦大学儿科附属医院，南边有中庚漫游城， 南方百联购物 莲花国际广场等，生活都很便利,小区两条地铁线1号线莲花路站和12号线顾戴路站，南门出门步行可到1号线莲花路地铁站，门口也有152 ，732， 122 ，150公交也可到，东门门出行可到12号线顾戴路地铁站，,,
2159,7楼以上视野佳，南北通透精装修，配套成熟，近召稼楼,334,31172,"['闵行', '闵浦']",浦江宝邸,2室2厅1厨2卫,中楼层 (共18层),107.15㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,无抵押,共有,已上传房本照片,202409558243,7楼以上视野佳，南北通透精装修，配套成熟，近召稼楼,14年小区，开发商：上海乐颂置业发展有限公司 物 业：宝邸第 一社区，小区的停车位充足，停车位：150元，小区户型是全南和南北的，得房率高,这套房子适合小夫妻，家有小宝宝的，一家人居住的，总价低适合低预算客户群体,江文路shangye一条街，自西向东1.4公里长沿街店铺，三个广场：乐嗨新天地、浦江休闲广场、夏威夷广场，吃喝玩乐一条龙。800米有一家大型生活chao市汇生活，往西873米就是闵浦社区医院，小区大门口就是幼儿园。生活、shangye、医疗齐全,小区门口有浦江15路的公交站可以直达沈杜公路地铁站有772路公交车两站到达召稼楼古镇步行1.8公里也可以直接到达浦江线三鲁公路地铁站还有浦江1路到达联航路地铁站闵行12路到达莘庄,,
2160,两房两厅格局通透！楼层好视野宽阔配套设施齐全,350,37223,"['闵行', '闵浦']",新汇绿苑一村,2室2厅1厨1卫,低楼层 (共6层),94.03㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202308313923,得房率高，视野宽阔采光充足配套设施齐全,小区所在位置比较繁华，配套设施完善却成熟，大型商场有浦江万达广场，山钢和润生活广场。永辉商场。咖啡厅电影院等配套齐全。公园有浦江森林公园 浦江郊野公园 浦江玫瑰园 为您休闲之余，饭后散步提供便捷场所，地铁有地铁8号线浦江延长线，出行便利。,"地铁：浦江线200米，步行即可到达公交站，地铁站交通便利。
公交：公交线路众多，小区侧门公交总站，浦江20路，浦江11路，浦江9路，174路，183路，772路，卢杜专线。
开车：小区近浦星公路，可以直接到南北高架，虹梅南路高架直接市区。",,,,
2161,朗郡新上四房 装修保养好 视野开阔 诚意出售,1850,104343,"['闵行', '古美']",万源城朗郡,4室2厅1厨2卫,低楼层 (共23层),177.3㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202409434987,朗郡新上四房 自住装修保养好 视野开阔 诚意出售,万源城朗郡（三期），2009年小区，建筑面积100000平，1266户，车位配比达到1；1，上海申大物业，物业费2.5元/月/平，小区配有一个下沉式篮球场和幼儿活动场所。引用活水，形成整体联通的自然水系，亭台楼阁，景色宜人,房东自住装修，且保养的很好，业主也是诚意出售，看房比较方便！,距离12号线东兰路站700米（高德地图可得知），漕宝路上中环，锦江乐园上嘉闵高架，顾戴路上外环便利，小区西门162路公交车，出行方便。,,,
2162,中间位置 采光好 不吵闹 居住舒服 随时看,310,37953,"['闵行', '莘庄北广场']",莘城苑,2室2厅1厨1卫,高楼层 (共6层),81.68㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409451951,此房满五一，位置好，不吵闹，居住舒服，采光好。随时可看，，,莘城苑小区位于疏影路，分两期，建设，一期1998年，二期2004年，已进行美丽家园整改，优化绿化，包括楼道重新刷新，楼栋外立面粉刷等。干道辐射上海主要地区，都是商品房，首批买房带户口的小区,交通：地铁，1号线莘庄站，12号线七莘路站 公交：704B路线可以直接到徐家汇体育馆，莘庄3路直达1号线莘庄站、闵行21路路线到12号线七莘路站，交通便利。出门就是公交站,,,,
2163,262户型是四个套房户型 保养好 有双车位 中区采光好,3200,121766,"['闵行', '古美']",万源城御璄,4室2厅1厨4卫,中楼层 (共21层),262.8㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,有抵押 400万元,共有,已上传房本照片,202409428267,小区单价挂牌诚意度高的262四套房户型，现在小区就这一套,小区是城开开发商，小区物业是绿城物业，物业管理很好，每栋楼都有管家值班，有任何事情都可以给管家说，小区完全人车分流，分3个门进出，直接进入地下车库，小区保安也是轮流值岗，物业费5.6元,房型为4房2厅4卫，中西双厨，净层高3.6米，两房朝南，一房朝北，一房朝西，标准飞机户型，主卧朝南（朝南）+衣帽间（全明）+卫生间，次卧朝南+卫生间，北卧室+嵌入式衣柜+卫生间 西卧室+卫生间 四个套房,一首买进的，小区是2015年竣工 分五期出售的、此房是属于第三期开售时买进的，开发商装修，装修标准1万元每平。房子楼层是高区，景观、视野、光线都很好。2017年开发商交付入住 房型正气通透 居住起来很舒服,整个小区是开发商统一精装修的，标准在1万每平米，全屋地暖、中 央空调，地板是大理统一采购的天然大理石，厨房中西分开的，橱柜是柏丽的，设备是美勒的，净水系统均有，2个冰箱，红酒柜、烤箱、蒸箱等都有。 卫生间马桶是TOTO智能的，汉斯格雅的卫浴。,地铁：12号线顾戴路站、东兰路站 公交：162路在古龙路万源路口（双柏路虹梅南路——莲花路古龙路） 自驾：上外环从顾戴路虹莘路上，上中环从顾戴路虹梅路或漕宝路虹梅路上、上沪闵高架从锦江乐园上。,
2164,小区中间位置大两房，一手动迁税费少,330,34668,"['闵行', '浦江']",滨浦新苑六村,2室2厅1厨1卫,低楼层 (共16层),95.19㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,两梯三户,有,暂无数据,无抵押,共有,已上传房本照片,202509703486,房子一手动迁无增值，税少，南北通户型，采光通风好,小区是2014年建成的动迁房小区，房龄新，材料和户型设计较好，小区东和浦锦路之间，滨浦城市鲜蔬商场正在招商，将来日常买菜、购物等都方便,东面在建滨浦城市鲜蔬商场正在招商！ 吃喝玩乐有浦江城市生活广场，商场有卜蜂莲花，上蔬永辉，绿地广场，红星美凯龙等，更有浦江森林公园，郊野公园,增值税免征，个税1%，契税一个点，无其他税费，税费相对较低。,小区门口有公交车站，直达八号线联航路、江月路、沈杜公路地铁站。出行畅通无阻。地铁站有单车、电车停车位，可选择多种方式出行,,
2165,双地铁1号12号·顶楼复式全南户型，大几十万的精装修,750,51038,"['闵行', '古美']",莲花公寓(闵行),3室2厅1厨2卫,高楼层 (共6层),146.95㎡,复式,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,有抵押 170万元 房贷170万 业主自还,共有,已上传房本照片,202409155917,此房为满五，南北通，复式，观景楼层，视野宽阔。,莲花公寓是古美首批商品房。原身为花鸟市场，小区配有室外游泳池网球场，儿童乐园，莲花广场，晚间散步休闲区域充裕。园林小区，板式房，房型多样化，可以满足不同客户的需求。小区北门到地地铁口400米左右,小区旁边有平阳菜市场和联华，一个街区外有麦德龙、南方商城、万源城城开优享、中庚漫游城，购物方便！,此房2017年60多万日式精装修，2018年搬进去自住，保养得好，可以拎包入住。,"公交车线路：700，867,946,341,171等公交车线路从家门口，地铁12号线顾戴路站400米左右， 距离地铁1号线莲花路站1200米左右",,
2166,摩登大三居，位置好，布局合理，业主诚意，有车位,1018,111355,"['闵行', '古美']",万源城尚郡,3室2厅1厨1卫,中楼层 (共18层),91.42㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,无抵押,共有,已上传房本照片,202409312697,此房满五年，位置好，位置安静，有车位，摩登大三房,小区位于万源路580弄，是2012年竣工的次新小区！总共28个楼号，实际25栋楼，总户数1888户，车位配比1:1，开发商是国企城开集团，物业公司是绿城物业，保安严谨，外来人员进出登记，24个小时的保安巡逻,小区门口就是万源城U+商场，从万源路出门右拐，往前270米左右，有乐斯生活会馆，平南路上有个平南菜市场，小区门口还有麦当劳和万源小馆。开车就是中庚漫游城、莲花国际商城、南方商城，友谊商城，配套设施完善，西面就是古美公园（湿地公园）,小区位于顾戴路万源路口，门口就是地铁12号线顾戴路站，距离小区500米，公交车150/162路。开车进出也比较方便，上中环、出外环、走沪闵高架都比较便利。,,,
2167,改造小区楼栋位置好一梯两户非顶层视野好通风效果好,349,42196,"['闵行', '航华']",嘉丰小区,2室1厅1厨1卫,高楼层 (共6层),82.71㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409630172,二手买进，全屋全新装修，可以直接入住，一梯两户,适合改善型客户，房子本身高楼层，适合一家三口或者考虑通勤上班族，出行方便，边上是10号线航中路站,两房两厅一厨一卫，厨卫朝北，边套全明，户型是本小区里面比较好的户型,房子满5年且仅有这一套，业主名下没有其他房子，按照新政计算此房税费低，只需买方契税,无抵押无贷款，产权人一位，产证上面只显示业主一个人，产权清晰，交易透明,,
2168,莘城苑梦中大两房，精装修交付，通风好，楼层位置好。,325,39790,"['闵行', '莘庄北广场']",莘城苑,2室2厅1厨1卫,中楼层 (共6层),81.68㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409109925,此房满二v一，个税可以做平，楼层好，位置好，出行方便,莘城苑小区位于七莘路疏影路已进行美丽家园整改，优化绿化包括楼道重新刷新楼栋外立面粉刷等干道辐射上海主要地区乘地铁便捷便可融入繁华的徐家汇医院餐饮娱乐无不在便可一步到位属于地铁一号线1.5公里辐射范围内,小区配套十分完善，紧靠莘庄CBD，购物有乐购，怡丰城，医疗有社区医疗，闵行瑞金医疗，幼儿园有闵行第三幼儿园，东苑佳佳幼儿园。,小区交通便利，出门便有公交站台，分别是704B公交、莘庄3路公交，可以直达莘庄地铁站。,,,
2169,次新小区，业主诚意出售，满二无增值税,338,40455,"['闵行', '华漕']",馨乐佳苑,2室2厅1厨1卫,中楼层 (共14层),83.55㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,无抵押,共有,已上传房本照片,202409433831,小区为2017年次新小区，房龄新，户型好，生活配套齐全，交通方便,小区是17年的次新小区，小区环境很好，绿化也高，配套也很完善。,小区旁配套齐全，适合在虹桥上班的上班族或刚需客户，欢迎多多来看,自驾出行北翟高架路，嘉闵高架路，崧泽大道高架路，沈海高速，地铁十三号线，上海示范区线，189路公交车,,,
2170,近地铁，小区安静，13年房龄的电梯房,345,41264,"['闵行', '颛桥']",君莲宏润丽苑,2室2厅1厨1卫,低楼层 (共11层),83.61㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯三户,有,暂无数据,无抵押,非共有,已上传房本照片,202409297681,13年房龄新全明户型满五微一税少，位置安静随时可看,适合一家三口，或者改善型居家自住，电梯房居住舒适度高，小区房龄新，环境优美安静,菜场：君莲农贸菜市场、梅莲菜场；医院： 颛桥社区卫生服务中 心。 银行： 中国银行、中国建设银行、中国工商银行、中国农业银行。 小区出门步行200米即为尚优玛特，沪光路菜市场。小区西侧门出了门就是约好休闲街，大小餐馆都有，解决一日三餐朋友聚会都.,公交： 闵行15路可到5号线银都路站、707路，闵行14路可到5号线颛桥站、闵行25路直达莘庄南广场； 地铁：15号线双柏路站780米，5号线颛桥站2.5公里 自驾：小区出门至金都路是S4沪金高速800米，小区东边至虹梅南路是虹梅高架。,,,
2171,南北房间户型，2012年房龄满五年诚心出售,347,38174,"['闵行', '老闵行']",合生城邦四街坊,2室2厅1厨1卫,低楼层 (共18层),90.9㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,有抵押,非共有,已上传房本照片,202308545090,满五年南北房间户型房龄2012年看房方便,合生城邦是上海龙盟房地产公司建筑，钢混建筑类别，由电梯高层联排别墅组成， 小区后面闵行科创公园，发展空间较大！ 小区和商圈配套成熟,老闵行板块房龄比较新的小区，环境好，小区居民素质高，适宜对小区品质高要求的人群居住，目前小区居民大多为交大、华师大老师和在航天城 紫竹科技园上班的白领,生活配套成熟，可以步行到轨道交通5号线金平路站。小区南门门口有公交车闵行35路可以直通轻轨站东川路站。小区东边是金平路步行街有银行、餐厅和商店。出小区步行到新安菜市场，碧江生活广场和龙湖天街,地铁五号线有金平地铁站，东川地铁站，剑川地铁站。闵行11路 35路公交车、徐闵线、虹桥枢纽4路、虹桥枢纽5路、沪闵高架、嘉闵高架，到虹桥机场都很方便生活设施一应俱全,,
2172,户型方正的大三房 满五年 位置好 视野好,1200,87681,"['闵行', '古美']",望族新苑,3室2厅1厨2卫,高楼层 (共14层),136.86㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202409315239,电梯 满五年  位置好 视野好 户型好,"小区介绍：
望族新苑是上海梅苑房地产有限公司开发的楼盘。2004年小区，主打两房和三房，房型都很好，南北直通；小区环境不错，宜住；配套齐全 离菜场、银行、商场等都近。",户型介绍大三房小区少有的好户型双房朝南一房朝北双卫生间户型方正南北双阳台,休闲公园：出门就是湿地公园，闵行体育公园距离小区距离1.2公里，双拥公园 距离140米 ， 购物亲子：南方购物，莲花国际广场，中庚漫游城，城开优享 银行：2公里内 中农工建四大行都存在，相对便利 地铁：12号线,双轨道交通，近一号线莲花路地铁站和12号线顾戴路地铁站。地铁12号线顾戴路站569米。1号线莲花路站1.3公里双轨交，732，803等多路公交出行方便。,,
2173,地铁200米，中间花园位置，精装修，单价低，带地下室,330,40432,"['闵行', '颛桥']",爱庐世纪新苑,2室2厅1厨1卫,低楼层 (共17层),81.62㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,无抵押,非共有,已上传房本照片,202207817625,业主诚意，全明户型，交通便利，配套齐全，仅此一套带16平地下室,菜场：君莲菜场、梅莲菜场；商场： 尚优玛特、大润发、万达广场 、红星美凯龙、莘潮家具 ； 医院：颛桥社区卫生服务院君莲分院、都市路地段医院、上海瑞金医院闵行医院 ；银行：中国农业银行沪光路支行、中国邮政储蓄银行君莲支行、中国银行银都路支行,地铁15号线双柏路站200米；公交： 156路直达3号线石龙路站，可到1号线莲花路站、闵行14路可到5号线颛桥站、闵行13路直达1号线莲花路站、闵行25路直达莘庄南广场、180直达1号线上海南站；自驾：小区西边至金都路是S4沪金高速，小区东边至虹梅南路是虹梅高架,,,,
2174,漕河泾旁，地铁口，中高楼层，南北飞机户型,1138,97424,"['闵行', '古美']",同济华城,3室2厅1厨1卫,中楼层 (共11层),116.81㎡,平层,95.2㎡,板楼,南,钢混结构,简装,一梯两户,有,暂无数据,无抵押,共有,已上传房本照片,202308750129,诚心出售得房率高南北通风，税费少，采光好。户型方正飞机户型,"2006年开盘，同济华城位于闵行古美板块，小区有2个门口，古美路上门口是大门口，物业是融创物业，全国前十的物业公司，物业费1.5元，绿化面积35%，小区由9栋总高11楼17楼小高层，共有小汽车位533个,均为地下车库，总户数358户，物业在2号楼101室。",3房，适合一家人入住，地铁，旁边出行方便，漕河泾旁，适合附，近工作或需要地铁出行,房子飞机户型，几个房间之间不影响，南北通风效果好，每个房间都有飘窗不算产证面积,"出门就是12号线虹梅路地铁站及印象城商城。公交有205，700，171，120路，离中环路1000米。古美医院,第六人民医院，复旦儿童附属医院。印象城，星宝购物广场，麦德龙，闵行文化公园，洛克公园。**资源优越闵行前三。四大银行",房子满五唯 一，没有房子贷款，没有抵押，产权清晰，随时可以签字,
2175,店长主推！！!中间楼层，20万婚房精装修，近地铁,330,36109,"['闵行', '闵浦']",闵浦新苑三村东区,2室1厅1厨1卫,中楼层 (共6层),91.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,无抵押,共有,已上传房本照片,202409049609,南北通  总价低  税费干净清晰  无迁入户口 近地铁 交通无忧,小区开发商是上海奕海领秀有限公司总建筑面积84212占地面积52761房屋449户物业为明嘉物业管理好小区环境好楼间距宽车位充足居民素质高居住舒适度高,2010年小区，南北通，全明户型，动静分离，采光无影响，居住舒适,小区配套成熟，离江玮公园150米，浦江郊野公园2.6公里，适合周六周天带家人娱乐。有谈家港农贸菜市场，夏威夷广场，瓯盛购物广场，偶润发广场，浦江休闲广场，妙口全国农副产品大卖场，医院有，仁济南苑，眼耳鼻喉科医院，配套成熟,原动迁，无增值税，满五带个税，，首套客户一个点契税，二套三个点,小区到地铁站三鲁公路站600米，门口有浦江15路，浦江20路，浦江1路等多趟公交，出行方便。出市区对接申嘉湖高速入市区可浦星公路,
2176,2020年新小区，双南两房，位置好楼层好,335,42643,"['闵行', '颛桥']",君莲闵都雅苑,2室1厅1厨1卫,中楼层 (共17层),78.56㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,无抵押,非共有,已上传房本照片,202509714586,临十五号线地铁站，朝南户型采光充足，户型方正，绿化高环境好,小区是2020年竣工的，2600户中小型社区，小区的绿化很高，可以达到40%，几乎每一寸空间都蔓延着绿色，小区是单行车道，保证车流的顺畅，电梯可直达地下车库，车位充足。,适合刚定居在上海的客户，地铁沿线交通便利，距离市区近，上班通勤时间短。有电梯，楼层不是很高，走楼梯也行，乘电梯也行，家里有孕婴的以及有老人的也都能适宜。小区绿化覆盖高，整体环境好，物业管理是本版块相对比较好的。,万达广场、大润发、海梦一房、麦多生活广场、尚优玛特 医院：梅陇镇卫生院高兴门诊部、都市路地段医院、 银行：中国邮政银行上海分行 中国建设银行上海分行春申支行、上海浦东发展银行春申路支行 小区东边200m有梅莲农贸菜市场。,地铁15号线双柏路站，156路直达3号线石龙路站，可到1号线莲花路站、闵行14路可到5号线颛桥站、闵行13路直达1号线莲花路站、闵行25路直达莘庄南广场、180直达1号线上海南站；自驾：小区西边至金都路是S4沪金高速，小区东边至虹梅南路是虹梅高架,,
2177,颛桥万达+诚意出售+全明大两室+房龄新+环境好固定车位,320,39996,"['闵行', '颛桥']",金榜新苑1900弄,2室2厅1厨1卫,中楼层 (共14层),80.01㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,暂无数据,有抵押 265万元 建设银行 业主自还,非共有,已上传房本照片,202409614291,小区新，位置安静，税少，房东诚意出售 看房 随时飞机户型,本小区是2010年的电梯房、9-14层电梯房，一直都是年轻客户钟爱的社区，物业贴心管理日趋完善，居民有爱和睦！门口宝都广场已经营业，出行很方便，越来越多的客户都选择这边置业，希望能给您不一样的住房感受。,户型正气 南北通透带大南阳台，一房朝南 一房朝北 电梯中间楼层,小区自带南北双公园，沪闵路沿河走廊颛桥文化艺术公园，自带田园夜跑安静道路。伟都菜市场，如海商市，宝都广场距离小区300米，万达广场1.5公里，都市路沿线华润万家、龙盛广场 、莘庄仲盛 、龙湖天街，班车直达闵行区复旦医院，北门有路安全直达,1，双轨交：地铁15号元江路2公里有班车，5号地铁颛桥北桥1.5公里左右，有银春班车直达 2.公交41路 143路从吴泾，老闵行江川 直达颛桥 莘庄 地铁口3.自驾：沪金高速，嘉闵高架，虹梅高架隧道，申嘉湖高速，四通八达，交通便利,,
2178,中庚漫游城商圈+双轨交通1号12号线+全明户型三居室,479,54186,"['闵行', '古美']",古美西路420弄,3室1厅1厨1卫,高楼层 (共6层),88.4㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,无抵押,非共有,已上传房本照片,202409205801,中庚漫游城商圈+双轨交通1号12号线+全明户型三居室，安静位置,小区共有两个出入口，车辆进口在古美西路，出口在合川路，物业比较负责，24小时安保工作，2018年3月完成美丽新家园改造，停车问题大大改善,双轨道交通，1号线莲花路站，12号线顾戴路站，三大商场，莲花国际，友谊商城，南方商城，还有新建的万源路沿街的底商，三幢写字楼，标准的商务区，发展潜力巨大，小区楼下陇西菜市场，满足日常买菜需求，古美西路一条街商店满足生活需求,"交通出行： 楼盘位于中外环之间，东临中环、西靠外环、南临沪闵高价、G60、S20、S4等高速、北倚漕宝路，自驾出行便利程度可想而知； 公共交通这块有地铁1号线和12号线，公交车线路，包括122,150,162,753等均经过小区门口",房东一手买入，产权人一位，无贷款无抵押与纠纷，产权清晰，可随时签约。,,
